KB,Read Time (ns),Read Time / Number (ns)
1396,617647,442
1397,600645,429
1398,597384,427
1399,597189,426
1400,619141,442
1401,655129,467
1402,609191,434
1403,607365,432
1404,593683,422
1405,597159,425
1406,628145,446
1407,646515,459
1408,612387,434
1409,608309,431
1410,630390,447
1411,641423,454
1412,634481,449
1413,601925,425
1414,584240,413
1415,622898,440
1416,611717,432
1417,609200,429
1418,583499,411
1419,606650,427
1420,606260,426
1421,597640,420
1422,617225,434
1423,619223,435
1424,607982,426
1425,619602,434
1426,702173,492
1427,596856,418
1428,598964,419
1429,611106,427
1430,617797,432
1431,668518,467
1432,603432,421
1433,665635,464
1434,692269,482
1435,622955,434
1436,593047,412
1437,593898,413
1438,631235,438
1439,604886,420
1440,619557,430
1441,610543,423
1442,605181,419
1443,624017,432
1444,647873,448
1445,605021,418
1446,685298,473
1447,626415,432
1448,635113,438
1449,665113,459
1450,600823,414
1451,632662,436
1452,610316,420
1453,609101,419
1454,616199,423
1455,650701,447
1456,635230,436
1457,633661,434
1458,611477,419
1459,608590,417
1460,616326,422
1461,674077,461
1462,610480,417
1463,660298,451
1464,644901,440
1465,623446,425
1466,641998,437
1467,631771,430
1468,628494,428
1469,631331,429
1470,614653,418
1471,629619,428
1472,654364,444
1473,617125,418
1474,631519,428
1475,626717,424
1476,626772,424
1477,668639,452
1478,681865,461
1479,663836,448
1480,633540,428
1481,642986,434
1482,1176601,793
1483,671765,452
1484,639546,430
1485,628168,423
1486,689925,464
1487,766863,515
1488,622941,418
1489,661722,444
1490,645437,433
1491,630201,422
1492,669794,448
1493,644609,431
1494,640692,428
1495,655948,438
1496,818510,547
1497,632374,422
1498,646121,431
1499,639206,426
1500,693745,462
1501,621219,413
1502,651241,433
1503,636940,423
1504,628047,417
1505,719880,478
1506,643476,427
1507,741466,492
1508,638394,423
1509,714224,473
1510,625461,414
1511,691539,457
1512,623792,412
1513,689370,455
1514,769550,508
1515,684379,451
1516,671304,442
1517,619795,408
1518,637169,419
1519,648502,426
1520,656563,431
1521,693332,455
1522,655058,430
