MB,Read Time (ns),Read Time / Number (ns)
1183,2894008,2446
1184,2926476,2471
1185,2819353,2379
1186,2930896,2471
1187,2898600,2441
1188,3140724,2643
1189,2880299,2422
1190,2866216,2408
1191,2822008,2369
1192,2886485,2421
1193,2944020,2467
1194,2991459,2505
1195,2906331,2432
1196,2968671,2482
1197,2927248,2445
1198,3010258,2512
1199,2971716,2478
1200,2978423,2482
1201,2920340,2431
1202,3024030,2515
1203,2921854,2428
1204,3064093,2544
1205,2898631,2405
1206,3012261,2497
1207,2995039,2481
1208,3013452,2494
1209,3070886,2540
1210,2967112,2452
1211,2960730,2444
1212,3038762,2507
1213,2976545,2453
1214,2994610,2466
1215,2968880,2443
1216,2985955,2455
1217,2949686,2423
1218,3023268,2482
1219,2920313,2395
1220,3037669,2489
1221,3014303,2468
1222,3067934,2510
1223,3115207,2547
1224,2897290,2367
1225,3062506,2500
1226,3169674,2585
1227,3041737,2479
1228,3023839,2462
1229,3014072,2452
1230,3015686,2451
1231,2965195,2408
1232,3154302,2560
1233,2972919,2411
1234,3023986,2450
1235,3018216,2443
1236,2998300,2425
1237,3188094,2577
1238,3063677,2474
1239,3162636,2552
1240,2995984,2416
1241,3107059,2503
1242,3087411,2485
1243,3193466,2569
1244,3073277,2470
1245,3098345,2488
1246,3183583,2555
1247,3089277,2477
1248,3145149,2520
1249,3162457,2531
1250,3100326,2480
1251,3297071,2635
1252,3043665,2431
1253,3198543,2552
1254,3049074,2431
1255,3168967,2525
1256,3066118,2441
1257,3276742,2606
1258,3049438,2424
1259,3219001,2556
1260,3075401,2440
1261,3189637,2529
1262,3114772,2468
1263,3253645,2576
1264,3309283,2618
1265,3166170,2502
1266,3089597,2440
1267,3125141,2466
1268,3077886,2427
1269,3140878,2475
1270,3118464,2455
1271,3126746,2460
1272,3047493,2395
1273,3070724,2412
1274,3087797,2423
1275,3059466,2399
1276,3154692,2472
1277,3112578,2437
1278,3145009,2460
1279,3125839,2443
1280,3167878,2474
1281,4145651,3236
1282,3135804,2446
1283,3110397,2424
1284,3491840,2719
1285,3107424,2418
1286,3280092,2550
1287,3039006,2361
